itin_id,itin_no,itin_total_price,itin_score,leg_id,leg_no,leg_hours,leg_minutes,leg_departure,leg_durationInMinutes,leg_departure_formatted,leg_arrival,leg_arrival_formatted,leg_origin,leg_destination,seg_id,seg_no,seg_origin,seg_destination,seg_durationInMinutes,leg_carriers_url,leg_carriers,leg_stopcount,seg_hours,seg_minutes,seg_departure_formatted,seg_arrival_formatted,seg_departure,seg_arrival,seg_flightNumber,seg_carrier
16216-2406201130--31876-1-12371-2406212145|12371-2408091140--31876-1-16216-2408092015,1,"$1,775",0.999,16216-2406201130--31876-1-12371-2406212145,1,21,45,"('2024-06-20T11:30:00',)",1305,11:30 AM,2024-06-21T21:45:00,09:45 PM,SFO,HYD,16216-16292-2406201130-2406211910--31876,2,SFO,SIN,1000,https://logos.skyscnr.com/images/airlines/favicon/SQ.png,Singapore Airlines,1,16,40,11:30 AM,07:10 PM,"('2024-06-20T11:30:00',)","('2024-06-21T19:10:00',)",31,Singapore Airlines
16216-2406201130--31876-1-12371-2406212145|12371-2408091140--31876-1-16216-2408092015,1,"$1,775",0.999,16216-2406201130--31876-1-12371-2406212145,1,21,45,"('2024-06-20T11:30:00',)",1305,11:30 AM,2024-06-21T21:45:00,09:45 PM,SFO,HYD,16292-12371-2406212000-2406212145--31876,3,SIN,HYD,255,https://logos.skyscnr.com/images/airlines/favicon/SQ.png,Singapore Airlines,1,4,15,08:00 PM,09:45 PM,"('2024-06-21T20:00:00',)","('2024-06-21T21:45:00',)",522,Singapore Airlines
16216-2406201130--31876-1-12371-2406212145|12371-2408091140--31876-1-16216-2408092015,1,"$1,775",0.999,12371-2408091140--31876-1-16216-2408092015,2,21,5,"('2024-08-09T11:40:00',)",1265,11:40 AM,2024-08-09T20:15:00,08:15 PM,HYD,SFO,12371-16292-2408091140-2408091900--31876,2,HYD,SIN,290,https://logos.skyscnr.com/images/airlines/favicon/SQ.png,Singapore Airlines,1,4,50,11:40 AM,07:00 PM,"('2024-08-09T11:40:00',)","('2024-08-09T19:00:00',)",519,Singapore Airlines
16216-2406201130--31876-1-12371-2406212145|12371-2408091140--31876-1-16216-2408092015,1,"$1,775",0.999,12371-2408091140--31876-1-16216-2408092015,2,21,5,"('2024-08-09T11:40:00',)",1265,11:40 AM,2024-08-09T20:15:00,08:15 PM,HYD,SFO,16292-16216-2408091950-2408092015--31876,3,SIN,SFO,925,https://logos.skyscnr.com/images/airlines/favicon/SQ.png,Singapore Airlines,1,15,25,07:50 PM,08:15 PM,"('2024-08-09T19:50:00',)","('2024-08-09T20:15:00',)",34,Singapore Airlines
16216-2406201130--31876-1-12371-2406212145|12371-2408092300--31876-1-16216-2408100940,2,"$1,773",0.974347,16216-2406201130--31876-1-12371-2406212145,1,21,45,"('2024-06-20T11:30:00',)",1305,11:30 AM,2024-06-21T21:45:00,09:45 PM,SFO,HYD,16216-16292-2406201130-2406211910--31876,2,SFO,SIN,1000,https://logos.skyscnr.com/images/airlines/favicon/SQ.png,Singapore Airlines,1,16,40,11:30 AM,07:10 PM,"('2024-06-20T11:30:00',)","('2024-06-21T19:10:00',)",31,Singapore Airlines
16216-2406201130--31876-1-12371-2406212145|12371-2408092300--31876-1-16216-2408100940,2,"$1,773",0.974347,16216-2406201130--31876-1-12371-2406212145,1,21,45,"('2024-06-20T11:30:00',)",1305,11:30 AM,2024-06-21T21:45:00,09:45 PM,SFO,HYD,16292-12371-2406212000-2406212145--31876,3,SIN,HYD,255,https://logos.skyscnr.com/images/airlines/favicon/SQ.png,Singapore Airlines,1,4,15,08:00 PM,09:45 PM,"('2024-06-21T20:00:00',)","('2024-06-21T21:45:00',)",522,Singapore Airlines
16216-2406201130--31876-1-12371-2406212145|12371-2408092300--31876-1-16216-2408100940,2,"$1,773",0.974347,12371-2408092300--31876-1-16216-2408100940,2,23,10,"('2024-08-09T23:00:00',)",1390,11:00 PM,2024-08-10T09:40:00,09:40 AM,HYD,SFO,12371-16292-2408092300-2408100610--31876,2,HYD,SIN,280,https://logos.skyscnr.com/images/airlines/favicon/SQ.png,Singapore Airlines,1,4,40,11:00 PM,06:10 AM,"('2024-08-09T23:00:00',)","('2024-08-10T06:10:00',)",523,Singapore Airlines
16216-2406201130--31876-1-12371-2406212145|12371-2408092300--31876-1-16216-2408100940,2,"$1,773",0.974347,12371-2408092300--31876-1-16216-2408100940,2,23,10,"('2024-08-09T23:00:00',)",1390,11:00 PM,2024-08-10T09:40:00,09:40 AM,HYD,SFO,16292-16216-2408100915-2408100940--31876,3,SIN,SFO,925,https://logos.skyscnr.com/images/airlines/favicon/SQ.png,Singapore Airlines,1,15,25,09:15 AM,09:40 AM,"('2024-08-10T09:15:00',)","('2024-08-10T09:40:00',)",32,Singapore Airlines
16216-2406202205--31876-1-12371-2406221050|12371-2408091140--31876-1-16216-2408092015,3,"$1,945",0.900384,16216-2406202205--31876-1-12371-2406221050,1,24,15,"('2024-06-20T22:05:00',)",1455,10:05 PM,2024-06-22T10:50:00,10:50 AM,SFO,HYD,16216-16292-2406202205-2406220545--31876,2,SFO,SIN,1000,https://logos.skyscnr.com/images/airlines/favicon/SQ.png,Singapore Airlines,1,16,40,10:05 PM,05:45 AM,"('2024-06-20T22:05:00',)","('2024-06-22T05:45:00',)",33,Singapore Airlines
16216-2406202205--31876-1-12371-2406221050|12371-2408091140--31876-1-16216-2408092015,3,"$1,945",0.900384,16216-2406202205--31876-1-12371-2406221050,1,24,15,"('2024-06-20T22:05:00',)",1455,10:05 PM,2024-06-22T10:50:00,10:50 AM,SFO,HYD,16292-12371-2406220845-2406221050--31876,3,SIN,HYD,275,https://logos.skyscnr.com/images/airlines/favicon/SQ.png,Singapore Airlines,1,4,35,08:45 AM,10:50 AM,"('2024-06-22T08:45:00',)","('2024-06-22T10:50:00',)",518,Singapore Airlines
16216-2406202205--31876-1-12371-2406221050|12371-2408091140--31876-1-16216-2408092015,3,"$1,945",0.900384,12371-2408091140--31876-1-16216-2408092015,2,21,5,"('2024-08-09T11:40:00',)",1265,11:40 AM,2024-08-09T20:15:00,08:15 PM,HYD,SFO,12371-16292-2408091140-2408091900--31876,2,HYD,SIN,290,https://logos.skyscnr.com/images/airlines/favicon/SQ.png,Singapore Airlines,1,4,50,11:40 AM,07:00 PM,"('2024-08-09T11:40:00',)","('2024-08-09T19:00:00',)",519,Singapore Airlines
16216-2406202205--31876-1-12371-2406221050|12371-2408091140--31876-1-16216-2408092015,3,"$1,945",0.900384,12371-2408091140--31876-1-16216-2408092015,2,21,5,"('2024-08-09T11:40:00',)",1265,11:40 AM,2024-08-09T20:15:00,08:15 PM,HYD,SFO,16292-16216-2408091950-2408092015--31876,3,SIN,SFO,925,https://logos.skyscnr.com/images/airlines/favicon/SQ.png,Singapore Airlines,1,15,25,07:50 PM,08:15 PM,"('2024-08-09T19:50:00',)","('2024-08-09T20:15:00',)",34,Singapore Airlines
16216-2406202205--31876-1-12371-2406221050|12371-2408092300--31876-1-16216-2408100940,4,"$1,945",0.868252,16216-2406202205--31876-1-12371-2406221050,1,24,15,"('2024-06-20T22:05:00',)",1455,10:05 PM,2024-06-22T10:50:00,10:50 AM,SFO,HYD,16216-16292-2406202205-2406220545--31876,2,SFO,SIN,1000,https://logos.skyscnr.com/images/airlines/favicon/SQ.png,Singapore Airlines,1,16,40,10:05 PM,05:45 AM,"('2024-06-20T22:05:00',)","('2024-06-22T05:45:00',)",33,Singapore Airlines
16216-2406202205--31876-1-12371-2406221050|12371-2408092300--31876-1-16216-2408100940,4,"$1,945",0.868252,16216-2406202205--31876-1-12371-2406221050,1,24,15,"('2024-06-20T22:05:00',)",1455,10:05 PM,2024-06-22T10:50:00,10:50 AM,SFO,HYD,16292-12371-2406220845-2406221050--31876,3,SIN,HYD,275,https://logos.skyscnr.com/images/airlines/favicon/SQ.png,Singapore Airlines,1,4,35,08:45 AM,10:50 AM,"('2024-06-22T08:45:00',)","('2024-06-22T10:50:00',)",518,Singapore Airlines
16216-2406202205--31876-1-12371-2406221050|12371-2408092300--31876-1-16216-2408100940,4,"$1,945",0.868252,12371-2408092300--31876-1-16216-2408100940,2,23,10,"('2024-08-09T23:00:00',)",1390,11:00 PM,2024-08-10T09:40:00,09:40 AM,HYD,SFO,12371-16292-2408092300-2408100610--31876,2,HYD,SIN,280,https://logos.skyscnr.com/images/airlines/favicon/SQ.png,Singapore Airlines,1,4,40,11:00 PM,06:10 AM,"('2024-08-09T23:00:00',)","('2024-08-10T06:10:00',)",523,Singapore Airlines
16216-2406202205--31876-1-12371-2406221050|12371-2408092300--31876-1-16216-2408100940,4,"$1,945",0.868252,12371-2408092300--31876-1-16216-2408100940,2,23,10,"('2024-08-09T23:00:00',)",1390,11:00 PM,2024-08-10T09:40:00,09:40 AM,HYD,SFO,16292-16216-2408100915-2408100940--31876,3,SIN,SFO,925,https://logos.skyscnr.com/images/airlines/favicon/SQ.png,Singapore Airlines,1,15,25,09:15 AM,09:40 AM,"('2024-08-10T09:15:00',)","('2024-08-10T09:40:00',)",32,Singapore Airlines
16216-2406201030--32672-1-12371-2406211910|12371-2408091005--32672-1-16216-2408091820,5,"$2,055",0.801835,16216-2406201030--32672-1-12371-2406211910,1,20,10,"('2024-06-20T10:30:00',)",1210,10:30 AM,2024-06-21T19:10:00,07:10 PM,SFO,HYD,16216-10957-2406201030-2406211445--32672,2,SFO,DEL,945,https://logos.skyscnr.com/images/airlines/favicon/AI.png,Air India,1,15,45,10:30 AM,02:45 PM,"('2024-06-20T10:30:00',)","('2024-06-21T14:45:00',)",174,Air India
16216-2406201030--32672-1-12371-2406211910|12371-2408091005--32672-1-16216-2408091820,5,"$2,055",0.801835,16216-2406201030--32672-1-12371-2406211910,1,20,10,"('2024-06-20T10:30:00',)",1210,10:30 AM,2024-06-21T19:10:00,07:10 PM,SFO,HYD,10957-12371-2406211650-2406211910--32672,3,DEL,HYD,140,https://logos.skyscnr.com/images/airlines/favicon/AI.png,Air India,1,2,20,04:50 PM,07:10 PM,"('2024-06-21T16:50:00',)","('2024-06-21T19:10:00',)",544,Air India
16216-2406201030--32672-1-12371-2406211910|12371-2408091005--32672-1-16216-2408091820,5,"$2,055",0.801835,12371-2408091005--32672-1-16216-2408091820,2,20,45,"('2024-08-09T10:05:00',)",1245,10:05 AM,2024-08-09T18:20:00,06:20 PM,HYD,SFO,12371-10957-2408091005-2408091230--32672,2,HYD,DEL,145,https://logos.skyscnr.com/images/airlines/favicon/AI.png,Air India,1,2,25,10:05 AM,12:30 PM,"('2024-08-09T10:05:00',)","('2024-08-09T12:30:00',)",543,Air India
