itin_id,itin_no,itin_total_price,itin_score,leg_id,leg_no,leg_hours,leg_minutes,leg_departure,leg_durationInMinutes,leg_departure_formatted,leg_arrival,leg_arrival_formatted,leg_origin,leg_destination,seg_id,seg_no,seg_origin,seg_destination,seg_durationInMinutes,leg_carriers_url,leg_carriers,leg_stopcount,seg_hours,seg_minutes,seg_departure_formatted,seg_arrival_formatted,seg_departure,seg_arrival,seg_flightNumber,seg_carrier
12371-2406191140--31876-1-16216-2406192015|16216-2408091130--31876-1-12371-2408102145,1,$831,0.999,12371-2406191140--31876-1-16216-2406192015,1,21,5,"('2024-06-19T11:40:00',)",1265,11:40 AM,2024-06-19T20:15:00,08:15 PM,HYD,SFO,12371-16292-2406191140-2406191900--31876,2,HYD,SIN,290,https://logos.skyscnr.com/images/airlines/favicon/SQ.png,Singapore Airlines,1,4,50,11:40 AM,07:00 PM,"('2024-06-19T11:40:00',)","('2024-06-19T19:00:00',)",519,Singapore Airlines
12371-2406191140--31876-1-16216-2406192015|16216-2408091130--31876-1-12371-2408102145,1,$831,0.999,12371-2406191140--31876-1-16216-2406192015,1,21,5,"('2024-06-19T11:40:00',)",1265,11:40 AM,2024-06-19T20:15:00,08:15 PM,HYD,SFO,16292-16216-2406191950-2406192015--31876,3,SIN,SFO,925,https://logos.skyscnr.com/images/airlines/favicon/SQ.png,Singapore Airlines,1,15,25,07:50 PM,08:15 PM,"('2024-06-19T19:50:00',)","('2024-06-19T20:15:00',)",34,Singapore Airlines
12371-2406191140--31876-1-16216-2406192015|16216-2408091130--31876-1-12371-2408102145,1,$831,0.999,16216-2408091130--31876-1-12371-2408102145,2,21,45,"('2024-08-09T11:30:00',)",1305,11:30 AM,2024-08-10T21:45:00,09:45 PM,SFO,HYD,16216-16292-2408091130-2408101910--31876,2,SFO,SIN,1000,https://logos.skyscnr.com/images/airlines/favicon/SQ.png,Singapore Airlines,1,16,40,11:30 AM,07:10 PM,"('2024-08-09T11:30:00',)","('2024-08-10T19:10:00',)",31,Singapore Airlines
12371-2406191140--31876-1-16216-2406192015|16216-2408091130--31876-1-12371-2408102145,1,$831,0.999,16216-2408091130--31876-1-12371-2408102145,2,21,45,"('2024-08-09T11:30:00',)",1305,11:30 AM,2024-08-10T21:45:00,09:45 PM,SFO,HYD,16292-12371-2408102000-2408102145--31876,3,SIN,HYD,255,https://logos.skyscnr.com/images/airlines/favicon/SQ.png,Singapore Airlines,1,4,15,08:00 PM,09:45 PM,"('2024-08-10T20:00:00',)","('2024-08-10T21:45:00',)",522,Singapore Airlines
12371-2406191140--31876-1-16216-2406192015|16216-2408092205--31876-1-12371-2408111050,2,$831,0.966134,12371-2406191140--31876-1-16216-2406192015,1,21,5,"('2024-06-19T11:40:00',)",1265,11:40 AM,2024-06-19T20:15:00,08:15 PM,HYD,SFO,12371-16292-2406191140-2406191900--31876,2,HYD,SIN,290,https://logos.skyscnr.com/images/airlines/favicon/SQ.png,Singapore Airlines,1,4,50,11:40 AM,07:00 PM,"('2024-06-19T11:40:00',)","('2024-06-19T19:00:00',)",519,Singapore Airlines
12371-2406191140--31876-1-16216-2406192015|16216-2408092205--31876-1-12371-2408111050,2,$831,0.966134,12371-2406191140--31876-1-16216-2406192015,1,21,5,"('2024-06-19T11:40:00',)",1265,11:40 AM,2024-06-19T20:15:00,08:15 PM,HYD,SFO,16292-16216-2406191950-2406192015--31876,3,SIN,SFO,925,https://logos.skyscnr.com/images/airlines/favicon/SQ.png,Singapore Airlines,1,15,25,07:50 PM,08:15 PM,"('2024-06-19T19:50:00',)","('2024-06-19T20:15:00',)",34,Singapore Airlines
12371-2406191140--31876-1-16216-2406192015|16216-2408092205--31876-1-12371-2408111050,2,$831,0.966134,16216-2408092205--31876-1-12371-2408111050,2,24,15,"('2024-08-09T22:05:00',)",1455,10:05 PM,2024-08-11T10:50:00,10:50 AM,SFO,HYD,16216-16292-2408092205-2408110545--31876,2,SFO,SIN,1000,https://logos.skyscnr.com/images/airlines/favicon/SQ.png,Singapore Airlines,1,16,40,10:05 PM,05:45 AM,"('2024-08-09T22:05:00',)","('2024-08-11T05:45:00',)",33,Singapore Airlines
12371-2406191140--31876-1-16216-2406192015|16216-2408092205--31876-1-12371-2408111050,2,$831,0.966134,16216-2408092205--31876-1-12371-2408111050,2,24,15,"('2024-08-09T22:05:00',)",1455,10:05 PM,2024-08-11T10:50:00,10:50 AM,SFO,HYD,16292-12371-2408110845-2408111050--31876,3,SIN,HYD,275,https://logos.skyscnr.com/images/airlines/favicon/SQ.png,Singapore Airlines,1,4,35,08:45 AM,10:50 AM,"('2024-08-11T08:45:00',)","('2024-08-11T10:50:00',)",518,Singapore Airlines
12371-2406192300--31876-1-16216-2406200940|16216-2408091130--31876-1-12371-2408102145,3,$866,0.875322,12371-2406192300--31876-1-16216-2406200940,1,23,10,"('2024-06-19T23:00:00',)",1390,11:00 PM,2024-06-20T09:40:00,09:40 AM,HYD,SFO,12371-16292-2406192300-2406200610--31876,2,HYD,SIN,280,https://logos.skyscnr.com/images/airlines/favicon/SQ.png,Singapore Airlines,1,4,40,11:00 PM,06:10 AM,"('2024-06-19T23:00:00',)","('2024-06-20T06:10:00',)",523,Singapore Airlines
12371-2406192300--31876-1-16216-2406200940|16216-2408091130--31876-1-12371-2408102145,3,$866,0.875322,12371-2406192300--31876-1-16216-2406200940,1,23,10,"('2024-06-19T23:00:00',)",1390,11:00 PM,2024-06-20T09:40:00,09:40 AM,HYD,SFO,16292-16216-2406200915-2406200940--31876,3,SIN,SFO,925,https://logos.skyscnr.com/images/airlines/favicon/SQ.png,Singapore Airlines,1,15,25,09:15 AM,09:40 AM,"('2024-06-20T09:15:00',)","('2024-06-20T09:40:00',)",32,Singapore Airlines
