itin_no,itin_id,itin_total_price,itin_score,leg_id,leg_origin,leg_destination,leg_departure,leg_arrival,leg_durationInMinutes,leg_stopcount,leg_carriers,seg_id,seg_origin,seg_destination,seg_carrier,seg_durationInMinutes,seg_departure,seg_arrival,seg_flightNumber
1,13542-2402201235--30598-0-12712-2402201550|12712-2402221810--30598-0-13542-2402230600,$420 ,0.998502,13542-2402201235--30598-0-12712-2402201550,LGW,JFK,2024-02-20T12:35:00,2024-02-20T15:50:00,495,0,Norse Atlantic Airways (UK),13542-12712-2402201235-2402201550--30598,LGW,JFK,Norse Atlantic Airways (UK),495,2024-02-20T12:35:00,2024-02-20T15:50:00,701
1,13542-2402201235--30598-0-12712-2402201550|12712-2402221810--30598-0-13542-2402230600,$420 ,0.998502,12712-2402221810--30598-0-13542-2402230600,JFK,LGW,2024-02-22T18:10:00,2024-02-23T06:00:00,410,0,Norse Atlantic Airways (UK),12712-13542-2402221810-2402230600--30598,JFK,LGW,Norse Atlantic Airways (UK),410,2024-02-22T18:10:00,2024-02-23T06:00:00,702
2,13554-2402200750--32753-1-12712-2402201355|12712-2402222110--32753-1-13554-2402231130,$528 ,0.58567,13554-2402200750--32753-1-12712-2402201355,LHR,JFK,2024-02-20T07:50:00,2024-02-20T13:55:00,665,1,Aer Lingus,13554-11154-2402200750-2402200910--32753,LHR,DUB,Aer Lingus,80,2024-02-20T07:50:00,2024-02-20T09:10:00,151
2,13554-2402200750--32753-1-12712-2402201355|12712-2402222110--32753-1-13554-2402231130,$528 ,0.58567,13554-2402200750--32753-1-12712-2402201355,LHR,JFK,2024-02-20T07:50:00,2024-02-20T13:55:00,665,1,Aer Lingus,11154-12712-2402201110-2402201355--32753,DUB,JFK,Aer Lingus,465,2024-02-20T11:10:00,2024-02-20T13:55:00,105
2,13554-2402200750--32753-1-12712-2402201355|12712-2402222110--32753-1-13554-2402231130,$528 ,0.58567,12712-2402222110--32753-1-13554-2402231130,JFK,LHR,2024-02-22T21:10:00,2024-02-23T11:30:00,560,1,Aer Lingus,12712-11154-2402222110-2402230850--32753,JFK,DUB,Aer Lingus,400,2024-02-22T21:10:00,2024-02-23T08:50:00,106
2,13554-2402200750--32753-1-12712-2402201355|12712-2402222110--32753-1-13554-2402231130,$528 ,0.58567,12712-2402222110--32753-1-13554-2402231130,JFK,LHR,2024-02-22T21:10:00,2024-02-23T11:30:00,560,1,Aer Lingus,11154-13554-2402231010-2402231130--32753,DUB,LHR,Aer Lingus,80,2024-02-23T10:10:00,2024-02-23T11:30:00,158
3,13542-2402201105--32753-1-12712-2402201940|12712-2402222110--32753-1-13542-2402231220,$530 ,0.502462,13542-2402201105--32753-1-12712-2402201940,LGW,JFK,2024-02-20T11:05:00,2024-02-20T19:40:00,815,1,Aer Lingus,13542-11154-2402201105-2402201230--32753,LGW,DUB,Aer Lingus,85,2024-02-20T11:05:00,2024-02-20T12:30:00,233
3,13542-2402201105--32753-1-12712-2402201940|12712-2402222110--32753-1-13542-2402231220,$530 ,0.502462,13542-2402201105--32753-1-12712-2402201940,LGW,JFK,2024-02-20T11:05:00,2024-02-20T19:40:00,815,1,Aer Lingus,11154-12712-2402201640-2402201940--32753,DUB,JFK,Aer Lingus,480,2024-02-20T16:40:00,2024-02-20T19:40:00,107
3,13542-2402201105--32753-1-12712-2402201940|12712-2402222110--32753-1-13542-2402231220,$530 ,0.502462,12712-2402222110--32753-1-13542-2402231220,JFK,LGW,2024-02-22T21:10:00,2024-02-23T12:20:00,610,1,Aer Lingus,12712-11154-2402222110-2402230850--32753,JFK,DUB,Aer Lingus,400,2024-02-22T21:10:00,2024-02-23T08:50:00,106
3,13542-2402201105--32753-1-12712-2402201940|12712-2402222110--32753-1-13542-2402231220,$530 ,0.502462,12712-2402222110--32753-1-13542-2402231220,JFK,LGW,2024-02-22T21:10:00,2024-02-23T12:20:00,610,1,Aer Lingus,11154-13542-2402231055-2402231220--32753,DUB,LGW,Aer Lingus,85,2024-02-23T10:55:00,2024-02-23T12:20:00,236
